city,state,state_id,lat,lng
"Abbeville","Alabama","AL",31.5664,-85.2528
"Adamsville","Alabama","AL",33.6073,-86.9740
"Addison","Alabama","AL",34.2017,-87.1765
"Akron","Alabama","AL",32.8785,-87.7429
"Alabaster","Alabama","AL",33.2198,-86.8225
"Albertville","Alabama","AL",34.2633,-86.2108
"Alexander City","Alabama","AL",32.9229,-85.9358
"Aliceville","Alabama","AL",33.1237,-88.1593
"Allgood","Alabama","AL",33.9064,-86.5178
"Altoona","Alabama","AL",34.0308,-86.3179
"Andalusia","Alabama","AL",31.3102,-86.4781
"Anderson","Alabama","AL",34.9147,-87.2716
"Anniston","Alabama","AL",33.6712,-85.8135
"Arab","Alabama","AL",34.3309,-86.4991
"Ardmore","Alabama","AL",34.9847,-86.8373
"Argo","Alabama","AL",33.6963,-86.5063
"Ariton","Alabama","AL",31.5978,-85.7131
"Arley","Alabama","AL",34.0885,-87.2075
"Ashford","Alabama","AL",31.1858,-85.2359
"Ashland","Alabama","AL",33.2703,-85.8337
"Ashville","Alabama","AL",33.8331,-86.2698
"Athens","Alabama","AL",34.7843,-86.9503
"Atmore","Alabama","AL",31.0927,-87.4762
"Attalla","Alabama","AL",34.0050,-86.1039
"Auburn","Alabama","AL",32.6087,-85.4903
"Autaugaville","Alabama","AL",32.4320,-86.6578
"Avon","Alabama","AL",31.1797,-85.2790
"Babbie","Alabama","AL",31.3022,-86.3229
"Baileyton","Alabama","AL",34.2609,-86.6083
"Banks","Alabama","AL",31.8132,-85.8364
"Bay Minette","Alabama","AL",30.8930,-87.7912
"Bayou La Batre","Alabama","AL",30.4126,-88.2611
"Bear Creek","Alabama","AL",34.2651,-87.7164
"Beatrice","Alabama","AL",31.7332,-87.2090
"Beaverton","Alabama","AL",33.9354,-88.0218
"Belk","Alabama","AL",33.6517,-87.9286
"Belle Fontaine","Alabama","AL",30.4920,-88.1131
"Benton","Alabama","AL",32.3078,-86.8180
"Berlin","Alabama","AL",34.1862,-86.7473
"Berry","Alabama","AL",33.6623,-87.6079
"Bessemer","Alabama","AL",33.3712,-86.9728
"Billingsley","Alabama","AL",32.6610,-86.7087
"Birmingham","Alabama","AL",33.5279,-86.7971
"Black","Alabama","AL",31.0099,-85.7440
"Blountsville","Alabama","AL",34.0814,-86.5867
"Blue Springs","Alabama","AL",31.6635,-85.5035
"Boaz","Alabama","AL",34.1985,-86.1529
"Boligee","Alabama","AL",32.7699,-88.0264
"Bon Air","Alabama","AL",33.2621,-86.3319
"Brantley","Alabama","AL",31.5823,-86.2569
"Brent","Alabama","AL",32.9421,-87.1753
"Brewton","Alabama","AL",31.1113,-87.0737
"Bridgeport","Alabama","AL",34.9496,-85.7243
"Brighton","Alabama","AL",33.4396,-86.9454
"Brilliant","Alabama","AL",34.0256,-87.7691
"Bristow Cove","Alabama","AL",34.1092,-86.2410
"Brookside","Alabama","AL",33.6372,-86.9002
"Brookwood","Alabama","AL",33.2398,-87.3277
"Brundidge","Alabama","AL",31.7182,-85.8178
"Butler","Alabama","AL",32.0965,-88.2108
"Calera","Alabama","AL",33.1254,-86.7449
"Camden","Alabama","AL",32.0007,-87.2967
"Camp Hill","Alabama","AL",32.8002,-85.6536
"Carbon Hill","Alabama","AL",33.8944,-87.5224
"Cardiff","Alabama","AL",33.6473,-86.9308
"Carlisle-Rockledge","Alabama","AL",34.1140,-86.1191
"Carolina","Alabama","AL",31.2337,-86.5227
"Carrollton","Alabama","AL",33.2619,-88.0951
"Castleberry","Alabama","AL",31.3001,-87.0269
"Cedar Bluff","Alabama","AL",34.2217,-85.5882
"Center Point","Alabama","AL",33.6447,-86.6852
"Centre","Alabama","AL",34.1537,-85.6689
"Centreville","Alabama","AL",32.9598,-87.1334
"Chatom","Alabama","AL",31.4691,-88.2460
"Chelsea","Alabama","AL",33.3262,-86.6300
"Cherokee","Alabama","AL",34.7577,-87.9670
"Chickasaw","Alabama","AL",30.7715,-88.0793
"Childersburg","Alabama","AL",33.2962,-86.3456
"Citronelle","Alabama","AL",31.0952,-88.2467
"Clanton","Alabama","AL",32.8444,-86.6233
"Clay","Alabama","AL",33.6951,-86.6090
"Clayhatchee","Alabama","AL",31.2434,-85.7136
"Clayton","Alabama","AL",31.8823,-85.4605
"Cleveland","Alabama","AL",33.9964,-86.5671
"Clio","Alabama","AL",31.7085,-85.6109
"Coaling","Alabama","AL",33.1641,-87.3534
"Coats Bend","Alabama","AL",34.0774,-85.8742
"Coffee Springs","Alabama","AL",31.1664,-85.9103
"Coffeeville","Alabama","AL",31.7666,-88.0861
"Coker","Alabama","AL",33.2446,-87.6800
"Collinsville","Alabama","AL",34.2664,-85.8679
"Colony","Alabama","AL",33.9413,-86.9022
"Columbia","Alabama","AL",31.2968,-85.1103
"Columbiana","Alabama","AL",33.1930,-86.6114
"Coosada","Alabama","AL",32.4984,-86.3279
"Cordova","Alabama","AL",33.7613,-87.1926
"Cottonwood","Alabama","AL",31.0552,-85.3008
"County Line","Alabama","AL",33.8208,-86.7195
"Courtland","Alabama","AL",34.6703,-87.3260
"Cowarts","Alabama","AL",31.2034,-85.3057
"Creola","Alabama","AL",30.8906,-88.0132
"Crossville","Alabama","AL",34.2852,-85.9996
"Cuba","Alabama","AL",32.4410,-88.3755
"Cullman","Alabama","AL",34.1775,-86.8407
"Cusseta","Alabama","AL",32.7876,-85.3057
"Dadeville","Alabama","AL",32.8326,-85.7675
"Daleville","Alabama","AL",31.2915,-85.7117
"Daphne","Alabama","AL",30.6263,-87.8816
"Dauphin Island","Alabama","AL",30.2525,-88.1438
"Daviston","Alabama","AL",33.0557,-85.6371
"Dayton","Alabama","AL",32.3510,-87.6416
"Deatsville","Alabama","AL",32.5864,-86.3917
"Decatur","Alabama","AL",34.5731,-86.9905
"Demopolis","Alabama","AL",32.4980,-87.8298
"Detroit","Alabama","AL",34.0274,-88.1678
"Dodge City","Alabama","AL",34.0445,-86.8853
"Dora","Alabama","AL",33.7288,-87.0842
"Dothan","Alabama","AL",31.2336,-85.4070
"Double Springs","Alabama","AL",34.1502,-87.3910
"Douglas","Alabama","AL",34.1705,-86.3224
"Dozier","Alabama","AL",31.5031,-86.3694
"Dunnavant","Alabama","AL",33.4977,-86.5421
"Dutton","Alabama","AL",34.6062,-85.9119
"East Brewton","Alabama","AL",31.0906,-87.0556
"Eclectic","Alabama","AL",32.6387,-86.0387
"Edwardsville","Alabama","AL",33.8409,-85.4523
"Elba","Alabama","AL",31.4172,-86.0759
"Elberta","Alabama","AL",30.3855,-87.5888
"Eldridge","Alabama","AL",33.9220,-87.6202
"Elkmont","Alabama","AL",34.9289,-86.9765
"Elmore","Alabama","AL",32.5552,-86.3425
"Emelle","Alabama","AL",32.7287,-88.3165
"Emerald Mountain","Alabama","AL",32.4396,-86.0857
"Enterprise","Alabama","AL",31.3275,-85.8463
"Epes","Alabama","AL",32.6906,-88.1405
"Ethelsville","Alabama","AL",33.4141,-88.2161
"Eufaula","Alabama","AL",31.9102,-85.1505
"Eutaw","Alabama","AL",32.8436,-87.8986
"Eva","Alabama","AL",34.3272,-86.7614
"Evergreen","Alabama","AL",31.4342,-86.9723
"Excel","Alabama","AL",31.4264,-87.3433
"Fairfield","Alabama","AL",33.4747,-86.9194
"Fairhope","Alabama","AL",30.5209,-87.8813
"Fairview","Alabama","AL",34.2501,-86.6846
"Falkville","Alabama","AL",34.3793,-86.9086
"Faunsdale","Alabama","AL",32.4576,-87.5938
"Fayette","Alabama","AL",33.6943,-87.8307
"Five Points","Alabama","AL",33.0173,-85.3516
"Flomaton","Alabama","AL",31.0127,-87.2541
"Florala","Alabama","AL",31.0176,-86.3138
"Florence","Alabama","AL",34.8303,-87.6655
"Foley","Alabama","AL",30.3983,-87.6650
"Forkland","Alabama","AL",32.6489,-87.8671
"Fort Deposit","Alabama","AL",31.9863,-86.5664
"Fort Payne","Alabama","AL",34.4559,-85.6965
"Fort Rucker","Alabama","AL",31.3428,-85.7154
"Franklin","Alabama","AL",32.4513,-85.7864
"Frisco City","Alabama","AL",31.4353,-87.4037
"Fruithurst","Alabama","AL",33.7295,-85.4313
"Fulton","Alabama","AL",31.7916,-87.7396
"Fultondale","Alabama","AL",33.6174,-86.8014
"Fyffe","Alabama","AL",34.4490,-85.9052
"Gadsden","Alabama","AL",34.0086,-86.0157
"Gainesville","Alabama","AL",32.8149,-88.1608
"Gantt","Alabama","AL",31.4092,-86.4842
"Garden City","Alabama","AL",34.0150,-86.7493
"Gardendale","Alabama","AL",33.6677,-86.8069
"Gaylesville","Alabama","AL",34.2665,-85.5603
"Geiger","Alabama","AL",32.8696,-88.3133
"Geneva","Alabama","AL",31.0437,-85.8763
"Georgiana","Alabama","AL",31.6391,-86.7468
"Geraldine","Alabama","AL",34.3579,-86.0037
"Gilbertown","Alabama","AL",31.8663,-88.3075
"Glen Allen","Alabama","AL",33.8922,-87.7329
"Glencoe","Alabama","AL",33.9447,-85.9322
"Glenwood","Alabama","AL",31.6675,-86.1730
"Goldville","Alabama","AL",33.0842,-85.7831
"Good Hope","Alabama","AL",34.1102,-86.8662
"Goodwater","Alabama","AL",33.0608,-86.0516
"Gordo","Alabama","AL",33.3221,-87.9040
"Gordon","Alabama","AL",31.1436,-85.0925
"Gordonville","Alabama","AL",32.1489,-86.6995
"Goshen","Alabama","AL",31.7182,-86.1242
"Grant","Alabama","AL",34.5190,-86.2492
"Graysville","Alabama","AL",33.6567,-86.9665
"Greensboro","Alabama","AL",32.7014,-87.5950
"Greenville","Alabama","AL",31.8437,-86.6380
"Grimes","Alabama","AL",31.2999,-85.4503
"Grove Hill","Alabama","AL",31.7006,-87.7748
"Gu-Win","Alabama","AL",33.9443,-87.8705
"Guin","Alabama","AL",33.9832,-87.9023
"Gulf Shores","Alabama","AL",30.2764,-87.7017
"Guntersville","Alabama","AL",34.3671,-86.2637
"Gurley","Alabama","AL",34.7072,-86.3768
"Hackleburg","Alabama","AL",34.2693,-87.8303
"Haleburg","Alabama","AL",31.4099,-85.1381
"Haleyville","Alabama","AL",34.2331,-87.6175
"Hamilton","Alabama","AL",34.1346,-87.9755
"Hammondville","Alabama","AL",34.5688,-85.6394
"Hanceville","Alabama","AL",34.0632,-86.7645
"Harpersville","Alabama","AL",33.3184,-86.4286
"Hartford","Alabama","AL",31.1055,-85.6916
"Hartselle","Alabama","AL",34.4391,-86.9396
"Hayden","Alabama","AL",33.8818,-86.7842
"Hayneville","Alabama","AL",32.1822,-86.5787
"Headland","Alabama","AL",31.3501,-85.3523
"Heath","Alabama","AL",31.3579,-86.4673
"Heflin","Alabama","AL",33.6470,-85.5698
"Helena","Alabama","AL",33.2837,-86.8791
"Henagar","Alabama","AL",34.6306,-85.7413
