City,State,Latitude,Longitude
"Abanda ",AL,33.091627,-85.527029
"Abbeville",AL,31.565164,-85.259165
"Adamsville",AL,33.602315,-86.971527
"Addison",AL,34.202681,-87.178004
"Akron",AL,32.879066,-87.740899
"Alabaster",AL,33.214355,-86.82308
"Albertville",AL,34.26313,-86.21066
"Alexander City",AL,32.916719,-85.940589
"Alexandria ",AL,33.760819,-85.872008
"Aliceville",AL,33.123706,-88.159344
"Allgood",AL,33.907623,-86.516109
"Altoona",AL,34.040014,-86.305179
"Andalusia",AL,31.309436,-86.478031
"Anderson",AL,34.915675,-87.274274
"Anniston",AL,33.673469,-85.810891
"Arab",AL,34.332387,-86.501167
"Ardmore",AL,34.987838,-86.829022
"Argo",AL,33.697861,-86.50576
"Ariton",AL,31.597772,-85.713061
"Arley",AL,34.076234,-87.217831
"Ashford",AL,31.185284,-85.236236
"Ashland",AL,33.269892,-85.833706
"Ashville",AL,33.835197,-86.270015
"Athens",AL,34.779021,-86.950799
"Atmore",AL,31.124067,-87.457798
"Attalla",AL,33.986189,-86.121037
"Auburn",AL,32.607122,-85.490959
"Autaugaville",AL,32.432563,-86.658752
"Avon",AL,31.179727,-85.279211
"Axis ",AL,30.922171,-88.02262
"Babbie",AL,31.302083,-86.319437
"Baileyton",AL,34.260858,-86.608788
"Bakerhill",AL,31.776923,-85.295408
"Ballplay ",AL,34.023047,-85.801478
"Banks",AL,31.813264,-85.836434
"Bay Minette",AL,30.890265,-87.792759
"Bayou La Batre",AL,30.407586,-88.263271
"Bear Creek",AL,34.255481,-87.713399
"Beatrice",AL,31.733309,-87.209046
"Beaverton",AL,33.935411,-88.021778
"Belgreen ",AL,34.47454,-87.861678
"Belk",AL,33.651641,-87.92861
"Bellamy ",AL,32.463658,-88.131481
"Belle Fontaine ",AL,30.489493,-88.105939
"Benton",AL,32.307931,-86.817546
"Berlin",AL,34.185005,-86.748955
"Berry",AL,33.666702,-87.609311
"Bessemer",AL,33.370858,-86.971522
"Billingsley",AL,32.664711,-86.706713
"Birmingham",AL,33.527174,-86.797036
"Black",AL,31.00977,-85.74442
"Blountsville",AL,34.075838,-86.583918
"Blue Ridge ",AL,32.4989,-86.182436
"Blue Springs",AL,31.663516,-85.503526
"Boaz",AL,34.19902,-86.155151
"Boligee",AL,32.768081,-88.02859
"Bon Air",AL,33.259355,-86.327175
"Bon Secour ",AL,30.318246,-87.72439
"Boykin ",AL,32.068375,-87.294343
"Brantley",AL,31.581992,-86.256784
"Brantleyville ",AL,33.219303,-86.882522
"Brent",AL,32.944893,-87.172088
"Brewton",AL,31.109175,-87.076583
"Bridgeport",AL,34.949312,-85.723765
"Brighton",AL,33.439551,-86.945404
"Brilliant",AL,34.025671,-87.769047
"Bristow Cove ",AL,34.109216,-86.240993
"Brook Highland ",AL,33.438035,-86.685262
"Brookside",AL,33.637404,-86.89266
"Brookwood",AL,33.239842,-87.331488
"Broomtown ",AL,34.365728,-85.532112
"Brundidge",AL,31.717639,-85.81755
"Bucks ",AL,31.016881,-88.026385
"Butler",AL,32.096479,-88.210781
"Calera",AL,33.122319,-86.745644
"Calvert ",AL,31.149898,-88.021549
"Camden",AL,31.998493,-87.28895
"Camp Hill",AL,32.797327,-85.655833
"Carbon Hill",AL,33.894991,-87.522078
"Cardiff",AL,33.64729,-86.930637
"Carlisle-Rockledge ",AL,34.114451,-86.124073
"Carlton ",AL,31.348571,-87.835666
"Carolina",AL,31.23415,-86.521001
"Carrollton",AL,33.261903,-88.095071
"Castleberry",AL,31.299678,-87.029129
"Catherine ",AL,32.18617,-87.469978
"Cedar Bluff",AL,34.221422,-85.588565
"Center Point",AL,33.643903,-86.684567
"Centre",AL,34.153059,-85.671683
"Centreville",AL,32.958967,-87.132043
"Chatom",AL,31.469145,-88.246019
"Chelsea",AL,33.309007,-86.635139
"Cherokee",AL,34.7577,-87.965589
"Cherokee Ridge",AL,34.420931,-86.563316
"Chickasaw",AL,30.77145,-88.079697
"Childersburg",AL,33.292558,-86.340864
"Choccolocco ",AL,33.667728,-85.707191
"Chunchula ",AL,30.927194,-88.2082
"Citronelle",AL,31.097269,-88.249843
"Clanton",AL,32.845572,-86.619494
"Clay",AL,33.696583,-86.608182
"Clayhatchee",AL,31.236925,-85.721478
"Clayton",AL,31.882277,-85.460454
"Cleveland",AL,34.002179,-86.561352
"Clio",AL,31.708516,-85.611039
"Coaling",AL,33.169901,-87.349887
"Coats Bend ",AL,34.073273,-85.874602
"Coffee Springs",AL,31.165836,-85.910898
"Coffeeville",AL,31.766564,-88.086049
"Coker",AL,33.243752,-87.681329
"Collinsville",AL,34.267224,-85.86861
"Colony",AL,33.941393,-86.902001
"Columbia",AL,31.295351,-85.110202
"Columbiana",AL,33.191452,-86.615618
"Concord ",AL,33.461988,-87.040429
"Coosada",AL,32.495394,-86.326543
"Cordova",AL,33.761788,-87.199416
"Cottondale ",AL,33.193047,-87.454861
