Geographic Area,CITY POPULATION
,CITY POPULATION
"Abbeville,  Alabama","2,370"
"Adamsville,  Alabama","4,181"
"Addison,  Alabama",676
"Akron,  Alabama",233
"Alabaster,  Alabama","34,460"
"Albertville,  Alabama","23,392"
"Alexander ,  Alabama","14,439"
"Aliceville,  Alabama","2,038"
"Allgood,  Alabama",556
"Altoona,  Alabama",955
"Andalusia,  Alabama","8,728"
"Anderson,  Alabama",257
"Anniston,  Alabama","21,127"
"Arab,  Alabama","8,918"
"Ardmore,  Alabama","1,452"
"Argo,  Alabama","4,369"
"Ariton,  Alabama",664
"Arley,  Alabama",333
"Ashford,  Alabama","2,397"
"Ashland,  Alabama","1,945"
"Ashville,  Alabama","2,402"
"Athens,  Alabama","32,587"
"Atmore,  Alabama","8,310"
"Attalla,  Alabama","5,746"
"Auburn,  Alabama","83,757"
"Autaugaville,  Alabama",815
"Avon,  Alabama",473
"Babbie,  Alabama",639
"Baileyton,  Alabama",690
"Bakerhill,  Alabama",204
"Banks,  Alabama",159
"Bay Minette,  Alabama","8,505"
"Bayou La Batre,  Alabama","2,124"
"Bear Creek,  Alabama","1,052"
"Beatrice,  Alabama",196
"Beaverton,  Alabama",180
"Belk,  Alabama",187
"Benton,  Alabama",37
"Berlin,  Alabama",531
"Berry,  Alabama","1,182"
"Bessemer,  Alabama","25,079"
"Billingsley,  Alabama",128
"Birmingham,  Alabama","196,357"
"Black,  Alabama",241
"Blountsville,  Alabama","1,820"
"Blue Springs,  Alabama",79
"Boaz,  Alabama","10,473"
"Boligee,  Alabama",270
"Bon Air,  Alabama",168
"Brantley,  Alabama",801
"Brent,  Alabama","4,074"
"Brewton,  Alabama","5,129"
"Bridgeport,  Alabama","2,267"
"Brighton,  Alabama","2,245"
"Brilliant,  Alabama",839
"Brookside,  Alabama","1,357"
"Brookwood,  Alabama","2,453"
"Brundidge,  Alabama","2,028"
"Butler,  Alabama","1,726"
"Calera,  Alabama","18,530"
"Camden,  Alabama","1,695"
"Camp Hill,  Alabama",965
"Carbon Hill,  Alabama","1,723"
"Cardiff,  Alabama",57
"Carolina,  Alabama",293
"Carrollton,  Alabama",968
"Castleberry,  Alabama",460
"Cedar Bluff,  Alabama","1,932"
"Center Point,  Alabama","15,603"
"Centre,  Alabama","3,845"
"Centreville,  Alabama","2,721"
"Chatom,  Alabama","1,056"
"Chelsea,  Alabama","17,293"
"Cherokee,  Alabama",967
"Cherokee Ridge,  Alabama",332
"Chickasaw,  Alabama","6,241"
"Childersburg,  Alabama","4,612"
"Citronelle,  Alabama","3,928"
